CUST_ID,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS
C10001,40.900749,95.4,1000,201.802084
C10002,3202.467416,0,7000,4103.032597
C10003,2495.148862,773.17,7500,622.066742
C10004,1666.670542,1499,7500,0
C10005,817.714335,16,1200,678.334763
C10006,1809.828751,1333.28,1800,1400.05777
C10007,627.260806,7091.01,13500,6354.314328
C10008,1823.652743,436.2,2300,679.065082
C10009,1014.926473,861.49,7000,688.278568
C10010,152.225975,1281.6,11000,1164.770591
C10011,1293.124939,920.12,1200,1083.301007
C10012,630.794744,1492.18,2000,705.618627
C10013,1516.92862,3217.99,3000,608.263689
C10014,921.693369,2137.93,7500,1655.891435
C10015,2772.772734,0,3000,805.647974
C10016,6886.213231,1611.7,8000,1993.439277
C10017,2072.074354,0,3000,391.974562
C10018,41.089489,519,2500,254.590662
C10019,1989.072228,504.35,13000,1720.837373
C10020,3577.970933,398.64,4000,1053.980464
C10021,2016.684686,176.68,2000,223.0686
C10022,6369.531318,6359.95,11250,2077.959051
C10023,132.34224,815.9,1800,2359.629958
C10024,3800.151377,4248.35,9000,9479.043842
C10025,5368.571219,0,6000,1422.726707
C10026,169.781679,399.6,3000,215.306142
C10027,1615.96724,102,1700,890.178845
C10028,125.694817,233.28,1000,207.773715
C10029,7152.864372,387.05,10500,1601.448347
C10030,22.06349,100,6900,160.767773
C10031,12136.21996,3038.01,13000,4230.323491
C10032,1162.273324,1347.71,6000,645.998299
C10033,6732.823064,324.95,10500,1720.118876
C10034,125.660453,636.79,1200,423.449696
C10035,3517.101616,547.28,11000,8735.607835
C10036,1656.350781,0,1800,351.500199
C10037,7427.076941,0,9000,1636.361601
C10038,4047.480828,2380.55,5000,1617.894416
C10039,6269.418144,204,9000,1237.111661
C10040,1411.60223,963.24,7500,20071.07544
C10041,663.44781,0,1800,3067.05783
C10043,784.889762,1526.59,3000,1262.309666
C10044,4104.710798,203.82,4500,868.275275
C10045,1360.742377,0,1500,378.294227
C10046,5315.945594,1525.44,8500,1430.341501
C10047,2242.311686,437,2400,0
C10048,474.447149,109.74,1700,176.013005
C10049,3910.111237,0,4200,0
C10050,229.867179,2390.6,3300,2543.953559
C10051,863.809833,507.5,4000,587.866451
C10052,4931.331857,901.42,12000,8113.297346
C10053,1078.888565,3107.85,2500,1399.82834
C10054,1565.681099,0,3500,691.825279
C10055,464.674156,1979.22,3000,3110.052742
C10056,6.660517,310,1000,417.016763
C10057,1311.995984,1283.9,6000,0
C10058,3625.218146,313.27,4000,0
C10059,2386.330629,5217.62,7500,5678.729613
C10060,3971.138765,0,4000,764.938728
C10061,5493.90406,229,6000,2110.557023
C10062,1879.114033,113,6500,3509.686561
C10063,1555.793701,66.2,1600,338.083661
C10064,809.582978,0,4150,4372.148648
C10065,7.152356,840,1600,0
C10067,1923.886805,1887.64,1850,3688.045998
C10068,1758.059987,412.33,1800,777.451648
C10069,809.847455,0,1500,146.074769
C10070,1576.305029,0,2500,540.022225
C10071,3990.523579,263.5,6000,6876.836205
C10072,1699.435486,1363.69,1700,1623.816348
C10073,5487.683724,419.1,6250,1288.214909
C10074,2990.422186,4523.27,7000,28232.69446
C10075,656.01301,0,7000,910.457985
C10077,1808.972419,713.9,2250,889.017418
C10078,532.334517,791.94,6000,1305.177304
C10079,5860.433624,561.87,6000,1990.044998
C10080,1727.638449,606.11,11000,2959.920544
C10081,578.809679,320,1500,1438.910569
C10082,1205.716678,0,1200,29.278671
C10083,6593.820644,388.66,7000,1624.583114
C10084,17.357563,244.85,5000,357.802082
C10085,81.584711,0,9500,116.569033
C10086,3.78631,133.05,12000,210.053432
C10087,42.46443,396,1200,725.606194
C10088,1935.362486,4915.6,9000,4921.066897
C10089,134.917202,1247.8,16500,1275.229436
C10090,7069.950386,1603.78,11000,4589.873897
C10092,8181.251131,2258.01,13500,3021.575846
C10093,4037.305658,45,4500,1073.844885
C10094,6110.265264,0,6500,1502.205631
C10095,9381.255094,5100.07,9000,6409.496345
C10096,1977.00709,1032.04,4000,3056.424974
C10097,1321.47608,45.65,1800,440.840439
C10098,1307.717841,405.6,2400,0
C10099,2329.485768,213.34,2400,0
C10100,1139.782882,0,1200,151.823651
C10101,1619.955708,739.44,6000,417.128532
C10102,3505.671311,0,4000,0
C10103,4.708041,79,7000,217.820198
C10104,0,0,3000,138.021428
C10105,4.875885,20,1500,26.487919
C10106,23.394411,1346.28,2000,712.149153
C10107,3539.801912,2823.8,5700,9172.788366
C10108,0.62424,389.96,4500,0
C10109,862.07238,0,4000,2236.890255
C10110,2441.542991,808,4000,532.741699
C10111,408.656365,941.64,2500,1097.78942
C10112,4986.400804,0,8000,1241.538024
C10113,1246.624558,423.7,2000,577.050373
C10114,6644.201651,4478.75,9000,10857.94321
C10115,156.216753,1354.86,5500,858.976682
C10116,3393.351236,0,4200,0
C10117,5322.994094,2812.2,8500,1509.423237
C10118,6458.56209,0,7000,1277.76778
C10119,175.341651,1508.9,5000,1884.227778
C10120,680.195157,1045.57,3000,552.432305
C10121,223.763616,2309.78,6500,1206.81188
C10122,1785.626943,0,1800,687.691735
C10123,54.933231,495,7000,1969.845566
C10124,2662.629852,0,3000,932.418855
C10125,8504.876253,6724.26,17000,1888.756861
C10126,1464.324632,1174.39,9000,0
C10127,2114.158683,5580.85,8500,3564.977774
C10128,2876.396444,0,3200,1065.426905
C10130,14224.11541,0,19000,3066.614272
C10131,2392.917738,12462.44,2800,11628.71557
C10132,57.453201,0,1200,385.853874
C10133,4245.855092,1957.3,5000,1004.35474
C10134,11167.23403,150.64,17000,2606.059389
C10135,69.405545,0,13000,0
C10136,116.654149,907,5000,0
C10137,4637.848144,1271.12,5000,1906.032044
C10138,24.28497,250.6,3000,319.762903
C10139,9354.06045,796.33,13000,10664.65866
C10140,231.108995,440,4000,554.116542
C10141,1562.633343,1330.62,2000,1020.783647
C10142,2494.868559,5491.79,17000,1015.311953
C10143,706.132889,897.86,1200,972.358048
C10144,19043.13856,22009.92,18000,23018.57583
C10145,2235.103331,720.6,2500,1061.292471
C10146,947.13081,197.06,1000,492.200419
C10147,764.042156,0,7500,1566.806897
C10148,5347.814547,0,7000,0
C10149,10598.46777,2084.48,21500,3219.621433
C10150,2163.678757,5779.36,6500,4416.41268
C10151,3057.400553,1025,7500,698.854095
C10152,19.354559,689.7,10000,746.691026
C10153,264.811595,28.65,9000,1235.630069
C10154,1108.22253,944.96,1500,1955.198953
C10155,906.573724,1039.2,13500,1855.235407
C10156,7679.62904,4059.93,7000,3685.61062
C10157,1523.911458,4075.37,6500,2254.26002
C10158,49.206256,870.24,8000,835.839952
C10159,13673.07961,9792.23,20000,11717.30794
C10160,106.455975,2463.12,4000,2573.722764
C10161,119.760904,1859.34,20000,3104.275623
C10162,5837.105453,3488.49,7900,0
C10163,1734.510004,0,1800,363.474455
C10164,2765.748281,7283.31,11000,14373.3929
C10165,1046.37041,295,1200,439.407082
C10166,2737.367678,0,3000,778.827993
C10167,4014.818167,0,8500,1009.185035
C10168,871.568977,648.22,1200,1110.886425
C10169,1610.040203,557.19,4000,422.711848
C10170,114.593817,469.98,1000,367.109312
C10171,5800.587339,0,6500,1346.365584
C10172,823.103926,131.64,8000,2916.071564
C10173,595.677343,5078.14,15000,4756.654374
C10174,1128.124563,924.6,1000,1202.711782
C10175,349.441102,1975.4,4000,1795.012223
C10176,840.804076,0,4000,3621.266477
C10177,975.942008,10221.35,10500,10693.49585
C10178,23.111088,300,12500,291.948834
C10179,2187.732265,0,3000,1423.788603
C10180,11972.01104,5715,14000,4639.513745
C10181,1608.451822,0,1800,470.565984
C10182,1872.926275,766.61,2300,0
C10183,2933.240476,0,3000,2431.578544
C10184,336.799916,3535.8,20000,2814.231227
C10185,36.236312,256.11,5300,831.375322
C10186,903.29781,2697.48,2500,1686.196344
C10187,0,23,5000,0
C10188,2881.253586,117,4500,17301.83238
C10189,5.465999,196.81,12000,0
C10190,117.442684,653.73,10000,441.588141
C10191,168.522709,2009.05,1200,2612.760497
C10192,1706.014379,147.78,6000,1186.062765
C10193,874.583247,516.54,900,579.749308
C10194,861.001207,969.56,2400,0
C10196,966.251742,311.45,1500,277.522439
C10197,38.615644,280.4,6150,254.392984
C10198,189.687964,66.14,6000,0
C10199,40.417255,79.2,4000,1647.880773
C10200,5462.897068,1453.32,16500,1382.269127
C10201,3983.923705,756.54,4000,1110.870941
C10202,5588.846272,3507.35,11500,1412.597253
C10203,281.170378,3163.69,8000,2422.911622
C10204,130.251538,1343.19,15000,1043.55929
C10205,1973.814964,873,8000,541.722532
C10206,5698.539876,47.55,6000,2976.579866
C10207,43.103899,370,23000,1212.054219
C10208,566.546048,405.75,2000,1249.835142
C10209,24.527253,261.64,4000,376.758504
C10211,8350.145568,1989.28,14000,4720.900413
C10212,4559.779234,10848.5,7500,9423.715495
C10213,2.67713,43.39,4000,130.107234
C10214,1570.682346,645.32,1800,2591.391006
C10215,7201.736985,987.1,10500,1941.541158
C10216,6467.885013,1464.14,11500,1658.563509
C10217,64.080909,927,5000,1260.16384
C10218,5635.860679,393.62,10000,1919.630466
C10219,3670.50596,965.5,7500,1034.932404
C10220,2458.376257,0,7500,4543.63481
C10221,768.004936,336.41,6000,947.696134
C10222,75.647479,540,4000,548.967281
C10223,2.433254,36,7500,0
C10224,1121.730896,878.52,1500,542.836917
C10226,7.56809,144.26,11500,134.710832
C10227,2053.441598,493.85,2000,2795.059574
C10228,2422.311938,4490.69,8500,5763.666926
C10229,9047.621884,11188.62,10000,11994.41815
C10230,3061.213971,1829.2,7000,971.234118
C10231,41.642389,75.99,2700,69.163384
