age,income,education_level,job_type,city,buy_product
30,18253,HighSchool,Staff,Bangkok,0
29,40308,Master,Officer,ChiangMai,1
25,17791,HighSchool,Staff,Bangkok,0
35,38745,Master,Officer,Bangkok,1
51,29630,Bachelor,Manager,Bangkok,0
50,24273,Bachelor,Staff,ChiangMai,0
29,16792,HighSchool,Staff,ChiangMai,0
39,38977,Master,Officer,Bangkok,1
47,18401,HighSchool,Manager,ChiangMai,0
35,33375,Master,Officer,ChiangMai,1
28,40098,Master,Staff,ChiangMai,1
52,25988,Bachelor,Staff,ChiangMai,0
36,38749,Master,Manager,Bangkok,1
33,25005,Bachelor,Staff,ChiangMai,0
40,48242,PhD,Officer,Bangkok,1
43,39356,Master,Staff,Bangkok,1
43,23542,Bachelor,Staff,ChiangMai,0
36,36241,Master,Manager,ChiangMai,1
32,25020,Bachelor,Officer,ChiangMai,0
50,36271,Master,Staff,Bangkok,1
55,29191,Bachelor,Staff,Bangkok,0
32,29488,Bachelor,Officer,Bangkok,0
47,26834,Bachelor,Officer,Bangkok,0
30,37398,Master,Officer,ChiangMai,1
30,24295,Bachelor,Officer,ChiangMai,0
55,37158,Master,Manager,ChiangMai,1
55,24252,Bachelor,Staff,Bangkok,0
23,27002,Bachelor,Staff,ChiangMai,0
42,17973,HighSchool,Manager,Bangkok,0
28,39684,Master,Staff,Bangkok,1
31,40756,Master,Officer,ChiangMai,1
50,50609,PhD,Officer,Bangkok,1
42,28502,Bachelor,Officer,ChiangMai,0
51,17840,HighSchool,Staff,Bangkok,0
37,23058,Bachelor,Staff,Bangkok,0
37,16257,HighSchool,Manager,Bangkok,0
55,21480,HighSchool,Officer,Bangkok,0
53,19874,HighSchool,Manager,Bangkok,0
29,19531,HighSchool,Staff,ChiangMai,0
52,33443,Master,Officer,Bangkok,1
26,25779,Bachelor,Manager,Bangkok,0
38,20393,HighSchool,Officer,ChiangMai,0
34,25046,Bachelor,Manager,Bangkok,0
51,40012,Master,Officer,Bangkok,1
23,50588,PhD,Officer,Bangkok,1
33,26943,Bachelor,Staff,ChiangMai,0
26,16017,HighSchool,Manager,ChiangMai,0
52,28706,Bachelor,Manager,ChiangMai,0
32,17783,HighSchool,Manager,Bangkok,0
43,20785,HighSchool,Officer,Bangkok,0
26,43656,PhD,Manager,Bangkok,1
27,34926,Master,Officer,Bangkok,1
25,26434,Bachelor,Officer,ChiangMai,0
39,21867,HighSchool,Staff,ChiangMai,0
48,21287,HighSchool,Staff,ChiangMai,0
27,21088,HighSchool,Manager,Bangkok,0
27,27144,Bachelor,Staff,ChiangMai,0
27,36027,Master,Staff,ChiangMai,1
42,29611,Bachelor,Officer,Bangkok,0
42,43848,PhD,Manager,Bangkok,1
39,16876,HighSchool,Officer,Bangkok,0
40,24725,Bachelor,Officer,Bangkok,0
39,25057,Bachelor,Manager,Bangkok,0
28,29794,Bachelor,Staff,Bangkok,0
44,38219,Master,Manager,Bangkok,1
51,26503,Bachelor,Officer,Bangkok,0
27,48660,PhD,Manager,Bangkok,1
46,24213,Bachelor,Officer,Bangkok,0
42,30643,Bachelor,Officer,Bangkok,1
45,18044,HighSchool,Officer,ChiangMai,0
49,49139,PhD,Staff,Bangkok,1
33,49641,PhD,Staff,ChiangMai,1
24,23573,HighSchool,Staff,ChiangMai,0
38,29450,Bachelor,Officer,ChiangMai,0
25,34822,Master,Staff,ChiangMai,1
45,29515,Bachelor,Manager,Bangkok,0
24,36264,Master,Staff,Bangkok,1
40,27173,Bachelor,Staff,ChiangMai,0
24,23949,HighSchool,Staff,ChiangMai,0
25,19559,HighSchool,Staff,ChiangMai,0
50,27189,Bachelor,Staff,Bangkok,0
39,19572,HighSchool,Staff,Bangkok,0
46,30773,Bachelor,Officer,ChiangMai,1
43,34020,Master,Officer,ChiangMai,1
55,26345,Bachelor,Staff,ChiangMai,0
31,21447,HighSchool,Manager,Bangkok,0
42,29829,Bachelor,Staff,ChiangMai,0
36,27751,Bachelor,Officer,ChiangMai,0
52,28534,Bachelor,Staff,ChiangMai,0
33,35324,Master,Officer,ChiangMai,1
28,39153,Master,Staff,ChiangMai,1
37,34207,Master,Staff,Bangkok,1
53,29295,Bachelor,Staff,ChiangMai,0
35,36145,Master,Officer,Bangkok,1
32,33045,Master,Manager,Bangkok,1
50,22587,HighSchool,Manager,ChiangMai,0
26,30515,Bachelor,Manager,ChiangMai,1
31,38468,Master,Officer,ChiangMai,1
51,28892,Bachelor,Manager,ChiangMai,0
51,39092,Master,Manager,ChiangMai,1
