CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,36,19,86
2,Female,31,31,18
3,Male,36,97,30
4,Male,18,54,52
5,Male,32,92,25
6,Female,39,93,22
7,Male,52,28,94
8,Male,28,63,45
9,Male,25,82,28
10,Female,28,19,24
11,Male,45,16,19
12,Male,38,94,87
13,Male,28,61,52
14,Male,41,39,62
15,Female,36,97,91
16,Male,46,65,27
17,Female,26,49,56
18,Female,31,25,30
19,Female,30,31,22
20,Male,18,15,93
21,Female,38,43,42
22,Male,38,65,30
23,Female,35,112,92
24,Female,32,70,97
25,Female,18,81,14
26,Female,29,19,62
27,Female,30,117,92
28,Female,25,39,60
29,Female,33,19,69
30,Female,39,44,58
31,Male,57,31,30
32,Male,37,28,68
33,Female,38,110,70
34,Female,34,33,72
35,Female,18,18,60
36,Male,34,31,91
37,Female,35,16,87
38,Male,64,42,46
39,Male,32,16,31
40,Male,38,118,12
41,Male,34,32,71
42,Male,20,65,91
43,Female,48,26,64
44,Female,44,94,99
45,Female,44,61,64
46,Female,24,81,85
47,Female,51,111,32
48,Male,18,29,14
49,Female,42,85,83
50,Female,61,66,80
51,Male,23,33,16
52,Female,28,102,37
53,Male,36,16,93
54,Female,28,82,99
55,Male,18,29,36
56,Female,35,53,41
57,Female,22,34,34
58,Male,40,40,40
59,Male,23,88,24
60,Male,53,24,76
61,Male,25,19,38
62,Male,31,68,79
63,Male,44,81,19
64,Male,20,31,37
65,Male,37,84,93
66,Female,50,19,11
67,Female,18,40,60
68,Male,37,16,22
69,Female,38,25,20
70,Female,44,30,20
71,Female,20,115,24
72,Female,19,30,20
73,Male,41,118,85
74,Female,38,42,43
75,Male,38,42,43
76,Female,39,17,12
77,Female,26,91,38
78,Female,37,96,27
79,Male,38,115,88
80,Female,26,19,27
81,Male,57,62,49
82,Female,40,86,30
83,Male,20,20,10
84,Female,42,69,18
85,Male,23,76,35
86,Male,44,48,41
87,Female,48,31,73
88,Male,25,90,82
89,Female,46,91,78
90,Female,39,60,64
91,Female,44,111,34
92,Female,57,29,33
93,Female,32,94,20
94,Female,25,50,68
95,Female,24,81,95
96,Female,25,100,10
97,Female,34,72,86
98,Female,39,17,38
99,Female,38,116,84
100,Male,44,111,93
101,Male,35,28,85
102,Female,52,28,83
103,Female,31,16,85
104,Female,67,78,96
105,Female,42,58,58
106,Female,24,71,72
107,Female,22,49,62
108,Female,40,48,50
109,Female,32,29,77
110,Male,43,102,12
111,Female,40,33,24
112,Male,34,19,87
113,Female,24,24,76
114,Female,18,103,31
115,Male,29,26,34
116,Female,45,81,82
117,Male,37,84,94
118,Female,20,18,69
119,Female,37,17,18
120,Male,39,27,77
121,Female,24,49,43
122,Male,36,29,81
123,Female,35,16,67
124,Male,21,104,86
125,Male,39,108,88
126,Female,41,106,78
127,Female,47,39,45
128,Male,47,116,95
129,Female,18,16,36
130,Female,23,109,15
131,Female,41,19,34
132,Male,41,15,30
133,Male,41,86,90
134,Male,70,70,15
135,Male,41,119,25
136,Male,48,68,39
137,Male,46,45,69
138,Male,42,94,93
139,Male,31,119,18
140,Male,44,57,42
141,Female,25,33,90
142,Male,32,22,83
143,Female,29,40,41
144,Female,35,54,67
145,Female,62,75,73
146,Male,18,79,75
147,Male,43,31,89
148,Male,18,102,28
149,Male,29,16,74
150,Female,48,75,17
151,Male,35,90,28
152,Male,22,109,81
153,Male,26,19,15
154,Male,43,18,28
155,Male,26,54,40
156,Female,37,84,86
157,Male,35,76,24
158,Female,27,15,35
159,Male,60,78,15
160,Female,42,19,39
161,Male,18,25,13
162,Male,37,27,20
163,Female,27,67,70
164,Female,45,20,69
165,Female,25,69,32
166,Male,33,74,81
167,Female,41,66,82
168,Male,45,104,71
169,Male,20,84,70
170,Female,30,101,78
171,Female,29,51,48
172,Male,27,75,24
173,Male,56,88,75
174,Female,39,119,12
175,Female,19,64,56
176,Female,46,39,69
177,Male,60,108,27
178,Male,47,28,30
179,Male,18,25,68
180,Male,29,16,21
181,Male,50,17,12
182,Male,26,15,17
183,Female,40,86,97
184,Male,44,63,47
185,Male,23,25,18
186,Male,34,39,53
187,Female,18,94,12
188,Male,22,19,64
189,Male,31,83,36
190,Female,20,78,35
191,Male,54,68,94
192,Male,18,27,84
193,Male,29,82,17
194,Male,36,72,16
195,Male,52,22,73
196,Female,18,33,92
197,Female,48,87,24
198,Female,35,15,84
199,Male,23,81,10
200,Male,40,111,32
