PersonID,Action,Romance,Comedy,Horror
1,5,6,9,2
2,7,1,6,8
3,7,3,6,5
4,5,5,7,5
5,3,6,9,4
6,6,2,6,8
7,8,1,5,5
8,7,2,7,8
9,6,6,8,3
10,4,8,6,4
11,3,5,8,2
12,3,3,9,3
13,3,6,7,2
14,5,5,8,5
15,6,1,4,7
16,7,3,5,8
17,7,3,5,8
18,7,4,6,7
19,7,1,4,7
20,4,6,8,4
21,3,9,4,1
22,7,4,4,7
23,2,8,5,4
24,5,3,3,7
25,4,3,4,8
26,2,8,7,2
27,5,9,7,3
28,4,9,4,3
29,5,4,3,8
30,5,2,5,9
31,7,1,7,7
32,8,4,4,7
33,7,4,5,9
34,3,9,6,3
35,5,9,7,1
36,7,4,7,7
37,5,4,3,9
38,7,1,5,7
39,9,2,5,7
40,5,6,8,5
41,3,6,7,3
42,3,6,8,5
43,2,7,7,3
44,6,1,3,9
45,6,4,6,9
46,7,4,4,7
47,7,4,5,7
48,6,6,8,5
49,5,8,6,4
50,3,7,6,1
51,3,4,8,3
52,3,8,6,4
53,3,3,7,5
54,4,2,3,9
55,5,3,7,5
56,7,3,5,8
57,6,2,4,8
58,8,2,4,7
59,4,6,9,4
60,8,1,5,5
61,6,5,7,2
62,6,3,9,5
63,9,4,4,8
64,7,4,7,6
65,3,4,7,3
66,4,7,4,4
67,4,1,4,7
68,9,3,7,5
69,7,3,3,7
70,5,9,4,4
71,4,8,4,2
72,4,8,5,3
73,8,4,5,8
74,4,8,6,2
75,9,3,5,6
76,3,7,7,1
77,4,3,4,9
78,4,2,5,8
79,5,4,7,5
80,4,4,4,9
81,3,6,7,5
82,4,4,6,8
83,8,4,6,7
84,6,4,4,8
85,6,5,9,3
86,5,3,8,4
87,3,7,5,2
88,8,2,4,8
89,5,2,5,8
90,4,7,4,4
91,4,4,6,7
92,6,4,4,7
93,5,8,6,3
94,4,7,5,4
95,3,8,6,1
96,5,9,6,4
97,3,9,5,1
98,5,1,4,9
99,4,7,7,1
100,7,2,5,5
101,5,4,8,3
102,5,7,7,1
103,2,7,7,1
104,6,4,5,7
105,3,7,6,3
106,5,8,7,3
107,2,8,4,1
108,5,4,3,9
109,2,8,5,2
110,6,3,8,3
111,7,1,5,7
112,4,4,7,4
113,5,2,4,7
114,5,8,7,3
115,4,4,9,3
116,7,1,6,7
117,7,4,7,8
118,5,9,5,1
119,7,4,6,9
120,8,3,7,5
121,4,1,5,9
122,7,4,6,5
123,2,8,6,4
124,3,3,9,3
125,8,1,6,6
126,6,3,3,8
127,5,7,5,2
128,8,2,5,7
129,4,3,6,8
130,4,2,3,9
131,4,4,6,7
132,7,1,4,8
133,8,1,4,8
134,9,1,6,8
135,6,4,7,4
136,9,2,7,5
137,7,3,4,7
138,7,3,4,6
139,3,3,8,5
140,7,2,4,7
141,6,1,6,7
142,7,3,7,5
143,6,4,4,9
144,7,4,5,8
145,6,4,3,7
146,5,6,7,5
147,5,3,7,4
148,6,3,9,2
149,7,2,5,7
150,5,3,4,7
151,5,5,7,4
152,5,4,9,5
153,7,2,5,8
154,3,3,8,4
155,8,1,7,6
156,2,8,6,2
157,4,3,7,2
158,3,9,7,4
159,7,1,5,8
160,4,3,5,7
161,3,6,8,5
162,9,3,4,8
163,5,3,5,8
164,5,3,5,8
165,4,7,4,2
166,8,2,7,8
167,7,1,5,7
168,5,3,9,2
169,6,4,7,4
170,5,7,4,4
171,4,2,3,8
172,8,4,4,8
173,3,3,9,2
174,7,2,3,9
175,7,1,6,9
176,4,7,5,3
177,3,3,8,4
178,5,3,7,3
179,8,3,7,7
180,3,5,8,5
181,8,4,7,8
182,3,6,8,5
183,5,8,7,2
184,6,4,7,2
185,9,2,6,5
186,7,1,4,8
187,2,7,4,2
188,5,3,8,3
189,5,6,7,4
190,2,8,5,4
191,4,4,9,2
192,3,5,7,3
193,7,2,7,7
194,3,5,7,3
195,5,3,8,4
196,4,7,4,1
197,3,7,6,3
198,4,1,6,9
199,8,4,4,5
200,5,3,8,4
